book,index,sentence,flesch,syllables,words,sentence_clean
Book1,0, the boy who lived mr and mrs dursley of number four privet drive were proud to say that they were perfectly normal thank you very much ,-17.07,37,15,boy lived mr mrs dursley number four privet drive proud say perfectly normal thank much
Book1,1,they were the last people you expect to be involved in anything strange or mysterious because they just didn hold with such nonsense ,-55.13,41,14,last people you expect to involved anything strange or mysterious they hold with nonsense
Book1,2,mr dursley was the director of firm called grunnings which made drills ,-18.5,23,9,mr dursley director of firm called grunnings made drills
Book1,3,he was big beefy man with hardly any neck although he did have very large mustache ,-31.73,27,10,big beefy man hardly neck although he have large mustache
Book1,4,mrs dursley was thin and blonde and had nearly twice the usual amount of neck which came in very useful as she spent so much of her time craning over garden fences spying on the neighbors ,-48.14,58,21,mrs dursley thin and blonde nearly twice usual amount neck came very useful spent much time craning garden fences spying neighbors
Book1,5,the dursley had small son called dudley and in their opinion there was no finer boy anywhere ,-45.04,34,12,dursley small son called dudley in their opinion no finer boy anywhere
Book1,6,the dursleys had everything they wanted but they also had secret and their greatest fear was that somebody would discover it ,-66.67,40,13,dursleys everything wanted but also secret and greatest fear was somebody would discover
Book1,7,they didn think they could bear it if anyone found out about the potters ,-46.7,26,9,they think could bear anyone found about the potters
Book1,8,mrs potter was mrs dursley sister but they hadn met for several years in fact mrs dursley pretended she didn have sister because her sister and her good for nothing husband were as undursleyish as it was possible to be ,-43.12,64,24,mrs potter mrs dursley sister met several years fact mrs dursley pretended didn sister her sister good for nothing husband as undursleyish as possible
Book1,9,the dursleys shuddered to think what the neighbors would say if the potters arrived in the street ,-57.11,30,10,dursleys shuddered think the neighbors would say potters arrived street
Book1,10,the dursleys knew that the potters had small son too but they had never even seen him ,-19.68,28,11,dursleys knew potters small son too they had never even seen
Book1,11,this boy was another good reason for keeping the potters away they didn want dudley mixing with child like that ,-53.65,38,13,boy another good reason keeping potters away they want dudley mixing child like
Book1,12,when mr and mrs dursley woke up on the dull gray tuesday our story starts there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country ,-46.65,65,24,when mr mrs dursley woke dull gray tuesday story starts nothing cloudy sky outside suggest that strange mysterious things would soon happening over country
Book1,13,mr dursley hummed as he picked out his most boring tie for work and mrs dursley gossiped away happily as she wrestled screaming dudley into his high chair ,-43.99,52,19,mr dursley hummed picked boring tie work and mrs dursley gossiped away happily wrestled screaming dudley into high chair
Book1,14,none of them noticed large tawny owl flutter past the window ,-27.9,24,9,none noticed large tawny owl flutter past the window
Book1,15,at half past eight mr dursley picked up his briefcase pecked mrs dursley on the cheek and tried to kiss dudley good bye but missed because dudley was now having tantrum and throwing his cereal at the walls ,-45.27,67,25,half past eight mr dursley picked briefcase pecked mrs dursley cheek tried kiss dudley good bye missed dudley was having tantrum throwing cereal the walls
Book1,16, little tyke chortled mr dursley as he left the house ,-17.81,18,7,little tyke chortled mr dursley left house
Book1,17,he got into his car and backed out of number four drive ,-12.78,20,8,got car and backed of number four drive
Book1,18,it was on the corner of the street that he noticed the first sign of something peculiar cat reading map ,-52.09,35,12,on corner the street noticed first sign something peculiar cat reading map
Book1,19,for second mr dursley didn realize what he had seen then he jerked his head around to look again ,-33.99,40,15,for second mr dursley didn realize he had seen he jerked his head around look
Book1,20,there was tabby cat standing on the corner of privet drive but there wasn a map in sight ,-8.1,31,13,was tabby cat standing the corner of privet drive there wasn map sight
Book1,21,what could he have been thinking of ,-29.87,11,4,what could have thinking
Book1,22,it must have been trick of the light ,33.58,8,4,must trick of light
Book1,23,mr dursley blinked and stared at the cat ,3.34,14,6,mr dursley blinked stared the cat
Book1,24,it stared back ,-6.69,5,2,stared back
Book1,25,as mr dursley drove around the corner and up the road he watched the cat in his mirror ,-31.73,27,10,mr dursley drove around corner road he watched cat mirror
Book1,26,it was now reading the sign that said privet drive no looking at the sign cats couldn read maps or signs ,-24.92,36,14,was reading sign that said privet drive looking the sign cats read maps signs
Book1,27,mr dursley gave himself little shake and put the cat out of his mind ,-9.1,22,9,mr dursley gave little shake put cat out mind
Book1,28,as he drove toward town he thought of nothing except large order of drills he was hoping to get that day ,-24.92,36,14,he drove toward town he thought nothing except large order drills hoping get day
Book1,29,but on the edge of town drills were driven out of his mind by something else ,-31.73,27,10,edge of town drills were driven out mind something else
Book1,30,as he sat in the usual morning traffic jam he couldn help noticing that there seemed to be lot of strangely dressed people about ,-53.65,38,13,sat usual morning traffic jam help noticing seemed lot of strangely dressed people
Book1,31,people in cloaks ,-50.01,9,3,people in cloaks
Book1,32,mr dursley couldn bear people who dressed in funny clothes the getups you saw on young people ,-40.64,36,13,mr dursley bear people dressed in funny clothes getups you saw young people
Book1,33,he supposed this was some stupid new fashion ,-52.04,15,5,supposed this stupid new fashion
Book1,34,he drummed his fingers on the steering wheel and his eyes fell on huddle of these weirdos standing quite close by ,-53.65,38,13,drummed fingers the steering wheel eyes fell huddle weirdos standing quite close by
Book1,35,they were whispering excitedly together ,-114.47,15,4,were whispering excitedly together
Book1,36,mr dursley was enraged to see that couple of them weren young at all why that man had to be older than he was and wearing an emerald green cloak ,-47.34,45,16,mr dursley was enraged see couple them young man to older than wearing emerald green cloak
Book1,37,the nerve of him ,-47.98,3,1,nerve
